ID,Name,Latitude,Longitude,Glottocode,Name_and_ID_in_source,xd_id,main_focal_year,HRAF_name_ID,HRAF_ID,region,comment
CARNEIRO6_001,Ancient Romans,41.9,12.5,lati1261,Roman Empire,xd530,125,Imperial Romans (EI09),EI09,Southeastern Europe,
CARNEIRO6_002,Ancient India,25.6,85.1,clas1258,Ancient India (Mauryan Empire),,-250,,,Indian Subcontinent,Coordinates for capital city of Pataliputra (modern Patna)
CARNEIRO6_003,Ancient Egyptians,30,31,egyp1246,New Kingdom Egypt,xd524,-1350,,,Northern Africa,
CARNEIRO6_004,Classical Athens,38,23.7,anci1242,Periclean Athens,,-450,,,Southeastern Europe,
CARNEIRO6_005,Vikings,59,11.1,oldn1244,Vikings,,,,,Northern Europe,
CARNEIRO6_006,Ashanti,7,-2,asan1239,Ashanti,xd208,,Akan (FE12),FE12,West Tropical Africa,
CARNEIRO6_007,Tahitians,-17.71,-149.54,tahi1242,Tahitians,xd897,,,,South-Central Pacific,
CARNEIRO6_008,Ganda,1,32,gand1255,Baganda,xd124,,Ganda (FK07),FK07,East Tropical Africa,
CARNEIRO6_009,Dogon,15,-3,bank1259,Dogon,xd266,,Dogon (FA16),FA16,West Tropical Africa,
CARNEIRO6_010,Azande,5,27,zand1248,Azande,xd359,,Azande (FO07),FO07,West-Central Tropical Africa,
CARNEIRO6_011,Tsonga,-24,32,tson1249,Thonga,xd27,,Tsonga (FT06),FT06,South Tropical Africa,
CARNEIRO6_012,Venda,-23,30,vend1245,Bavenda,xd29,,,,Southern Africa,
CARNEIRO6_013,Batak,2,98.5,toba1265,Batak,xd753,,,,Malesia,"Probably more general than Toba Batak (Ib4, xd753) but there should be overlap between them"
CARNEIRO6_014,Shilluk,10,32,shil1265,Shilluk,xd380,,Shilluk (FJ23),FJ23,Northeast Tropical Africa,
CARNEIRO6_015,Mru,21.47,92.32,mruu1242,Mru,,1955,,,Indian Subcontinent,
CARNEIRO6_016,Mangarevans,-23.12,-134.97,mang1401,Mangarevans,xd896,,,,South-Central Pacific,
CARNEIRO6_017,Muscogee,33,-84,cree1270,Creek,xd1252,,Creek (NN11),NN11,Southeastern U.S.A.,
CARNEIRO6_018,Ao,27,94,aona1235,Ao Naga,xd701,,,,Indian Subcontinent,
CARNEIRO6_020,Futunans,-14.31,-178.11,east2447,Futunans,xd887,,,,Southwestern Pacific,
CARNEIRO6_022,Maasai,-3.5,36.75,masa1300,Masai,xd395,,Maasai (FL12),FL12,East Tropical Africa,
CARNEIRO6_023,Seneca,43,-77,sene1264,Iroquois,xd1245,,Iroquois (NM09),NM09,Northeastern U.S.A.,"Probably match to Seneca, based on references (Morgan 1901, Noon 1949)"
CARNEIRO6_025,Nuu chah nulth,49.16,-125.85,nuuc1236,Nootka,xd1070,,Nuu-Chah-Nulth (NE11),NE11,Western Canada,
CARNEIRO6_026,Mandan,47,-101,mand1446,Mandan,xd1225,,Mandan (NQ17),NQ17,North-Central U.S.A.,
CARNEIRO6_027,Callinago,15.41,-61.27,isla1278,Callinago,xd1326,1650,Island Carib (ST13),ST13,Caribbean,
CARNEIRO6_028,Trobriands,-8.6,151,kili1267,Trobriands,xd852,,Trobriands (OL06),OL06,Papuasia,
CARNEIRO6_029,Kiwai,-9,143,sout2949,Kiwai,xd789,,,,Papuasia,
CARNEIRO6_030,Mala,-9,161,mala1542,Mala,xd850,,,,Papuasia,"Probably more general than Kwaio (Ig18, xd850) but there should be overlap between them"
CARNEIRO6_031,Nama,-26,18,nama1265,Nama Hottentots,xd3,,Khoi (FX13),FX13,Southern Africa,
CARNEIRO6_032,Navajo,36.5,-110,nava1243,Navajo,xd1279,1850,Navajo (NT13),NT13,Southwestern U.S.A.,
CARNEIRO6_034,Manobo,8,126,agus1235,Manóbo,xd738,,,,Malesia,
CARNEIRO6_035,Atayal,24,121,atay1247,Atayal,xd732,,Atayal (AD08),AD08,Eastern Asia,
CARNEIRO6_036,Toda,12,77,toda1252,Toda,xd680,,Toda (AW60),AW60,Indian Subcontinent,
CARNEIRO6_037,Nuer,8,32,nuer1246,Nuer,xd406,,Nuer (FJ22),FJ22,Northeast Tropical Africa,
CARNEIRO6_038,Tolowa,42,-124,tolo1259,Tolowa,xd1103,,,,Northwestern U.S.A.,
CARNEIRO6_040,Omaha,41,-96,omah1248,Omaha,xd1237,,Omaha (NQ21),NQ21,North-Central U.S.A.,
CARNEIRO6_041,Delaware,41,-75,unam1242,Delaware,xd1255,,Delaware (NM07),NM07,Northeastern U.S.A.,
CARNEIRO6_042,Tupinambá,-22.81,-42.11,tupi1273,Tupinambá,xd1416,,Tupinamba (SO09),SO09,Brazil,
