ID,Var_ID,Name,Description,ord
CARNEIRO6_052-0,CARNEIRO6_052,absent,absent,0
CARNEIRO6_052-1,CARNEIRO6_052,present,present,1
CARNEIRO6_053-0,CARNEIRO6_053,absent,absent,0
CARNEIRO6_053-1,CARNEIRO6_053,present,present,1
CARNEIRO6_054-0,CARNEIRO6_054,absent,absent,0
CARNEIRO6_054-1,CARNEIRO6_054,present,present,1
CARNEIRO6_055-0,CARNEIRO6_055,absent,absent,0
CARNEIRO6_055-1,CARNEIRO6_055,present,present,1
CARNEIRO6_056-0,CARNEIRO6_056,absent,absent,0
CARNEIRO6_056-1,CARNEIRO6_056,present,present,1
CARNEIRO6_057-0,CARNEIRO6_057,absent,absent,0
CARNEIRO6_057-1,CARNEIRO6_057,present,present,1
CARNEIRO6_058-0,CARNEIRO6_058,absent,absent,0
CARNEIRO6_058-1,CARNEIRO6_058,present,present,1
CARNEIRO6_059-0,CARNEIRO6_059,absent,absent,0
CARNEIRO6_059-1,CARNEIRO6_059,present,present,1
CARNEIRO6_060-0,CARNEIRO6_060,absent,absent,0
CARNEIRO6_060-1,CARNEIRO6_060,present,present,1
CARNEIRO6_061-0,CARNEIRO6_061,absent,absent,0
CARNEIRO6_061-1,CARNEIRO6_061,present,present,1
CARNEIRO6_062-0,CARNEIRO6_062,absent,absent,0
CARNEIRO6_062-1,CARNEIRO6_062,present,present,1
CARNEIRO6_063-0,CARNEIRO6_063,absent,absent,0
CARNEIRO6_063-1,CARNEIRO6_063,present,present,1
CARNEIRO6_064-0,CARNEIRO6_064,absent,absent,0
CARNEIRO6_064-1,CARNEIRO6_064,present,present,1
CARNEIRO6_065-0,CARNEIRO6_065,absent,absent,0
CARNEIRO6_065-1,CARNEIRO6_065,present,present,1
CARNEIRO6_066-0,CARNEIRO6_066,absent,absent,0
CARNEIRO6_066-1,CARNEIRO6_066,present,present,1
CARNEIRO6_067-0,CARNEIRO6_067,absent,absent,0
CARNEIRO6_067-1,CARNEIRO6_067,present,present,1
CARNEIRO6_068-0,CARNEIRO6_068,absent,absent,0
CARNEIRO6_068-1,CARNEIRO6_068,present,present,1
CARNEIRO6_069-0,CARNEIRO6_069,absent,absent,0
CARNEIRO6_069-1,CARNEIRO6_069,present,present,1
CARNEIRO6_070-0,CARNEIRO6_070,absent,absent,0
CARNEIRO6_070-1,CARNEIRO6_070,present,present,1
CARNEIRO6_071-0,CARNEIRO6_071,absent,absent,0
CARNEIRO6_071-1,CARNEIRO6_071,present,present,1
CARNEIRO6_072-0,CARNEIRO6_072,absent,absent,0
CARNEIRO6_072-1,CARNEIRO6_072,present,present,1
CARNEIRO6_073-0,CARNEIRO6_073,absent,absent,0
CARNEIRO6_073-1,CARNEIRO6_073,present,present,1
CARNEIRO6_074-0,CARNEIRO6_074,absent,absent,0
CARNEIRO6_074-1,CARNEIRO6_074,present,present,1
CARNEIRO6_075-0,CARNEIRO6_075,absent,absent,0
CARNEIRO6_075-1,CARNEIRO6_075,present,present,1
CARNEIRO6_076-0,CARNEIRO6_076,absent,absent,0
CARNEIRO6_076-1,CARNEIRO6_076,present,present,1
CARNEIRO6_077-0,CARNEIRO6_077,absent,absent,0
CARNEIRO6_077-1,CARNEIRO6_077,present,present,1
CARNEIRO6_078-0,CARNEIRO6_078,absent,absent,0
CARNEIRO6_078-1,CARNEIRO6_078,present,present,1
CARNEIRO6_079-0,CARNEIRO6_079,absent,absent,0
CARNEIRO6_079-1,CARNEIRO6_079,present,present,1
CARNEIRO6_080-0,CARNEIRO6_080,absent,absent,0
CARNEIRO6_080-1,CARNEIRO6_080,present,present,1
CARNEIRO6_081-0,CARNEIRO6_081,absent,absent,0
CARNEIRO6_081-1,CARNEIRO6_081,present,present,1
CARNEIRO6_082-0,CARNEIRO6_082,absent,absent,0
CARNEIRO6_082-1,CARNEIRO6_082,present,present,1
CARNEIRO6_083-0,CARNEIRO6_083,absent,absent,0
CARNEIRO6_083-1,CARNEIRO6_083,present,present,1
CARNEIRO6_084-0,CARNEIRO6_084,absent,absent,0
CARNEIRO6_084-1,CARNEIRO6_084,present,present,1
CARNEIRO6_085-0,CARNEIRO6_085,absent,absent,0
CARNEIRO6_085-1,CARNEIRO6_085,present,present,1
CARNEIRO6_086-0,CARNEIRO6_086,absent,absent,0
CARNEIRO6_086-1,CARNEIRO6_086,present,present,1
CARNEIRO6_087-0,CARNEIRO6_087,absent,absent,0
CARNEIRO6_087-1,CARNEIRO6_087,present,present,1
CARNEIRO6_088-0,CARNEIRO6_088,absent,absent,0
CARNEIRO6_088-1,CARNEIRO6_088,present,present,1
CARNEIRO6_089-0,CARNEIRO6_089,absent,absent,0
CARNEIRO6_089-1,CARNEIRO6_089,present,present,1
CARNEIRO6_090-0,CARNEIRO6_090,absent,absent,0
CARNEIRO6_090-1,CARNEIRO6_090,present,present,1
CARNEIRO6_091-0,CARNEIRO6_091,absent,absent,0
CARNEIRO6_091-1,CARNEIRO6_091,present,present,1
CARNEIRO6_092-0,CARNEIRO6_092,absent,absent,0
CARNEIRO6_092-1,CARNEIRO6_092,present,present,1
CARNEIRO6_093-0,CARNEIRO6_093,absent,absent,0
CARNEIRO6_093-1,CARNEIRO6_093,present,present,1
CARNEIRO6_094-0,CARNEIRO6_094,absent,absent,0
CARNEIRO6_094-1,CARNEIRO6_094,present,present,1
CARNEIRO6_095-0,CARNEIRO6_095,absent,absent,0
CARNEIRO6_095-1,CARNEIRO6_095,present,present,1
CARNEIRO6_096-0,CARNEIRO6_096,absent,absent,0
CARNEIRO6_096-1,CARNEIRO6_096,present,present,1
CARNEIRO6_097-0,CARNEIRO6_097,absent,absent,0
CARNEIRO6_097-1,CARNEIRO6_097,present,present,1
CARNEIRO6_098-0,CARNEIRO6_098,absent,absent,0
CARNEIRO6_098-1,CARNEIRO6_098,present,present,1
CARNEIRO6_099-0,CARNEIRO6_099,absent,absent,0
CARNEIRO6_099-1,CARNEIRO6_099,present,present,1
CARNEIRO6_100-0,CARNEIRO6_100,absent,absent,0
CARNEIRO6_100-1,CARNEIRO6_100,present,present,1
CARNEIRO6_101-0,CARNEIRO6_101,absent,absent,0
CARNEIRO6_101-1,CARNEIRO6_101,present,present,1
CARNEIRO6_102-0,CARNEIRO6_102,absent,absent,0
CARNEIRO6_102-1,CARNEIRO6_102,present,present,1
CARNEIRO6_103-0,CARNEIRO6_103,absent,absent,0
CARNEIRO6_103-1,CARNEIRO6_103,present,present,1
CARNEIRO6_104-0,CARNEIRO6_104,absent,absent,0
CARNEIRO6_104-1,CARNEIRO6_104,present,present,1
CARNEIRO6_105-0,CARNEIRO6_105,absent,absent,0
CARNEIRO6_105-1,CARNEIRO6_105,present,present,1
CARNEIRO6_106-0,CARNEIRO6_106,absent,absent,0
CARNEIRO6_106-1,CARNEIRO6_106,present,present,1
CARNEIRO6_107-0,CARNEIRO6_107,absent,absent,0
CARNEIRO6_107-1,CARNEIRO6_107,present,present,1
CARNEIRO6_108-0,CARNEIRO6_108,absent,absent,0
CARNEIRO6_108-1,CARNEIRO6_108,present,present,1
CARNEIRO6_109-0,CARNEIRO6_109,absent,absent,0
CARNEIRO6_109-1,CARNEIRO6_109,present,present,1
CARNEIRO6_110-0,CARNEIRO6_110,absent,absent,0
CARNEIRO6_110-1,CARNEIRO6_110,present,present,1
CARNEIRO6_111-0,CARNEIRO6_111,absent,absent,0
CARNEIRO6_111-1,CARNEIRO6_111,present,present,1
CARNEIRO6_112-0,CARNEIRO6_112,absent,absent,0
CARNEIRO6_112-1,CARNEIRO6_112,present,present,1
CARNEIRO6_113-0,CARNEIRO6_113,absent,absent,0
CARNEIRO6_113-1,CARNEIRO6_113,present,present,1
CARNEIRO6_114-0,CARNEIRO6_114,absent,absent,0
CARNEIRO6_114-1,CARNEIRO6_114,present,present,1
CARNEIRO6_115-0,CARNEIRO6_115,absent,absent,0
CARNEIRO6_115-1,CARNEIRO6_115,present,present,1
CARNEIRO6_116-0,CARNEIRO6_116,absent,absent,0
CARNEIRO6_116-1,CARNEIRO6_116,present,present,1
CARNEIRO6_117-0,CARNEIRO6_117,absent,absent,0
CARNEIRO6_117-1,CARNEIRO6_117,present,present,1
CARNEIRO6_118-0,CARNEIRO6_118,absent,absent,0
CARNEIRO6_118-1,CARNEIRO6_118,present,present,1
CARNEIRO6_119-0,CARNEIRO6_119,absent,absent,0
CARNEIRO6_119-1,CARNEIRO6_119,present,present,1
CARNEIRO6_120-0,CARNEIRO6_120,absent,absent,0
CARNEIRO6_120-1,CARNEIRO6_120,present,present,1
CARNEIRO6_121-0,CARNEIRO6_121,absent,absent,0
CARNEIRO6_121-1,CARNEIRO6_121,present,present,1
CARNEIRO6_122-0,CARNEIRO6_122,absent,absent,0
CARNEIRO6_122-1,CARNEIRO6_122,present,present,1
CARNEIRO6_123-0,CARNEIRO6_123,absent,absent,0
CARNEIRO6_123-1,CARNEIRO6_123,present,present,1
CARNEIRO6_124-0,CARNEIRO6_124,absent,absent,0
CARNEIRO6_124-1,CARNEIRO6_124,present,present,1
CARNEIRO6_125-0,CARNEIRO6_125,absent,absent,0
CARNEIRO6_125-1,CARNEIRO6_125,present,present,1
CARNEIRO6_126-0,CARNEIRO6_126,absent,absent,0
CARNEIRO6_126-1,CARNEIRO6_126,present,present,1
CARNEIRO6_127-0,CARNEIRO6_127,absent,absent,0
CARNEIRO6_127-1,CARNEIRO6_127,present,present,1
CARNEIRO6_128-0,CARNEIRO6_128,absent,absent,0
CARNEIRO6_128-1,CARNEIRO6_128,present,present,1
CARNEIRO6_129-0,CARNEIRO6_129,absent,absent,0
CARNEIRO6_129-1,CARNEIRO6_129,present,present,1
CARNEIRO6_130-0,CARNEIRO6_130,absent,absent,0
CARNEIRO6_130-1,CARNEIRO6_130,present,present,1
CARNEIRO6_131-0,CARNEIRO6_131,absent,absent,0
CARNEIRO6_131-1,CARNEIRO6_131,present,present,1
CARNEIRO6_132-0,CARNEIRO6_132,absent,absent,0
CARNEIRO6_132-1,CARNEIRO6_132,present,present,1
CARNEIRO6_133-0,CARNEIRO6_133,absent,absent,0
CARNEIRO6_133-1,CARNEIRO6_133,present,present,1
CARNEIRO6_134-0,CARNEIRO6_134,absent,absent,0
CARNEIRO6_134-1,CARNEIRO6_134,present,present,1
CARNEIRO6_135-0,CARNEIRO6_135,absent,absent,0
CARNEIRO6_135-1,CARNEIRO6_135,present,present,1
CARNEIRO6_136-0,CARNEIRO6_136,absent,absent,0
CARNEIRO6_136-1,CARNEIRO6_136,present,present,1
CARNEIRO6_137-0,CARNEIRO6_137,absent,absent,0
CARNEIRO6_137-1,CARNEIRO6_137,present,present,1
CARNEIRO6_138-0,CARNEIRO6_138,absent,absent,0
CARNEIRO6_138-1,CARNEIRO6_138,present,present,1
CARNEIRO6_139-0,CARNEIRO6_139,absent,absent,0
CARNEIRO6_139-1,CARNEIRO6_139,present,present,1
CARNEIRO6_140-0,CARNEIRO6_140,absent,absent,0
CARNEIRO6_140-1,CARNEIRO6_140,present,present,1
CARNEIRO6_141-0,CARNEIRO6_141,absent,absent,0
CARNEIRO6_141-1,CARNEIRO6_141,present,present,1
CARNEIRO6_142-0,CARNEIRO6_142,absent,absent,0
CARNEIRO6_142-1,CARNEIRO6_142,present,present,1
CARNEIRO6_143-0,CARNEIRO6_143,absent,absent,0
CARNEIRO6_143-1,CARNEIRO6_143,present,present,1
CARNEIRO6_144-0,CARNEIRO6_144,absent,absent,0
CARNEIRO6_144-1,CARNEIRO6_144,present,present,1
CARNEIRO6_145-0,CARNEIRO6_145,absent,absent,0
CARNEIRO6_145-1,CARNEIRO6_145,present,present,1
CARNEIRO6_146-0,CARNEIRO6_146,absent,absent,0
CARNEIRO6_146-1,CARNEIRO6_146,present,present,1
CARNEIRO6_147-0,CARNEIRO6_147,absent,absent,0
CARNEIRO6_147-1,CARNEIRO6_147,present,present,1
CARNEIRO6_148-0,CARNEIRO6_148,absent,absent,0
CARNEIRO6_148-1,CARNEIRO6_148,present,present,1
CARNEIRO6_149-0,CARNEIRO6_149,absent,absent,0
CARNEIRO6_149-1,CARNEIRO6_149,present,present,1
CARNEIRO6_150-0,CARNEIRO6_150,absent,absent,0
CARNEIRO6_150-1,CARNEIRO6_150,present,present,1
CARNEIRO6_151-0,CARNEIRO6_151,absent,absent,0
CARNEIRO6_151-1,CARNEIRO6_151,present,present,1
CARNEIRO6_152-0,CARNEIRO6_152,absent,absent,0
CARNEIRO6_152-1,CARNEIRO6_152,present,present,1
CARNEIRO6_153-0,CARNEIRO6_153,absent,absent,0
CARNEIRO6_153-1,CARNEIRO6_153,present,present,1
CARNEIRO6_154-0,CARNEIRO6_154,absent,absent,0
CARNEIRO6_154-1,CARNEIRO6_154,present,present,1
CARNEIRO6_155-0,CARNEIRO6_155,absent,absent,0
CARNEIRO6_155-1,CARNEIRO6_155,present,present,1
CARNEIRO6_156-0,CARNEIRO6_156,absent,absent,0
CARNEIRO6_156-1,CARNEIRO6_156,present,present,1
CARNEIRO6_157-0,CARNEIRO6_157,absent,absent,0
CARNEIRO6_157-1,CARNEIRO6_157,present,present,1
CARNEIRO6_158-0,CARNEIRO6_158,absent,absent,0
CARNEIRO6_158-1,CARNEIRO6_158,present,present,1
CARNEIRO6_159-0,CARNEIRO6_159,absent,absent,0
CARNEIRO6_159-1,CARNEIRO6_159,present,present,1
CARNEIRO6_160-0,CARNEIRO6_160,absent,absent,0
CARNEIRO6_160-1,CARNEIRO6_160,present,present,1
CARNEIRO6_161-0,CARNEIRO6_161,absent,absent,0
CARNEIRO6_161-1,CARNEIRO6_161,present,present,1
CARNEIRO6_162-0,CARNEIRO6_162,absent,absent,0
CARNEIRO6_162-1,CARNEIRO6_162,present,present,1
CARNEIRO6_163-0,CARNEIRO6_163,absent,absent,0
CARNEIRO6_163-1,CARNEIRO6_163,present,present,1
CARNEIRO6_164-0,CARNEIRO6_164,absent,absent,0
CARNEIRO6_164-1,CARNEIRO6_164,present,present,1
CARNEIRO6_165-0,CARNEIRO6_165,absent,absent,0
CARNEIRO6_165-1,CARNEIRO6_165,present,present,1
CARNEIRO6_166-0,CARNEIRO6_166,absent,absent,0
CARNEIRO6_166-1,CARNEIRO6_166,present,present,1
CARNEIRO6_167-0,CARNEIRO6_167,absent,absent,0
CARNEIRO6_167-1,CARNEIRO6_167,present,present,1
CARNEIRO6_168-0,CARNEIRO6_168,absent,absent,0
CARNEIRO6_168-1,CARNEIRO6_168,present,present,1
CARNEIRO6_169-0,CARNEIRO6_169,absent,absent,0
CARNEIRO6_169-1,CARNEIRO6_169,present,present,1
CARNEIRO6_170-0,CARNEIRO6_170,absent,absent,0
CARNEIRO6_170-1,CARNEIRO6_170,present,present,1
CARNEIRO6_171-0,CARNEIRO6_171,absent,absent,0
CARNEIRO6_171-1,CARNEIRO6_171,present,present,1
CARNEIRO6_172-0,CARNEIRO6_172,absent,absent,0
CARNEIRO6_172-1,CARNEIRO6_172,present,present,1
CARNEIRO6_173-0,CARNEIRO6_173,absent,absent,0
CARNEIRO6_173-1,CARNEIRO6_173,present,present,1
CARNEIRO6_174-0,CARNEIRO6_174,absent,absent,0
CARNEIRO6_174-1,CARNEIRO6_174,present,present,1
CARNEIRO6_175-0,CARNEIRO6_175,absent,absent,0
CARNEIRO6_175-1,CARNEIRO6_175,present,present,1
CARNEIRO6_176-0,CARNEIRO6_176,absent,absent,0
CARNEIRO6_176-1,CARNEIRO6_176,present,present,1
CARNEIRO6_177-0,CARNEIRO6_177,absent,absent,0
CARNEIRO6_177-1,CARNEIRO6_177,present,present,1
CARNEIRO6_178-0,CARNEIRO6_178,absent,absent,0
CARNEIRO6_178-1,CARNEIRO6_178,present,present,1
CARNEIRO6_179-0,CARNEIRO6_179,absent,absent,0
CARNEIRO6_179-1,CARNEIRO6_179,present,present,1
CARNEIRO6_180-0,CARNEIRO6_180,absent,absent,0
CARNEIRO6_180-1,CARNEIRO6_180,present,present,1
CARNEIRO6_181-0,CARNEIRO6_181,absent,absent,0
CARNEIRO6_181-1,CARNEIRO6_181,present,present,1
CARNEIRO6_182-0,CARNEIRO6_182,absent,absent,0
CARNEIRO6_182-1,CARNEIRO6_182,present,present,1
CARNEIRO6_183-0,CARNEIRO6_183,absent,absent,0
CARNEIRO6_183-1,CARNEIRO6_183,present,present,1
CARNEIRO6_184-0,CARNEIRO6_184,absent,absent,0
CARNEIRO6_184-1,CARNEIRO6_184,present,present,1
CARNEIRO6_185-0,CARNEIRO6_185,absent,absent,0
CARNEIRO6_185-1,CARNEIRO6_185,present,present,1
CARNEIRO6_186-0,CARNEIRO6_186,absent,absent,0
CARNEIRO6_186-1,CARNEIRO6_186,present,present,1
CARNEIRO6_187-0,CARNEIRO6_187,absent,absent,0
CARNEIRO6_187-1,CARNEIRO6_187,present,present,1
CARNEIRO6_188-0,CARNEIRO6_188,absent,absent,0
CARNEIRO6_188-1,CARNEIRO6_188,present,present,1
CARNEIRO6_189-0,CARNEIRO6_189,absent,absent,0
CARNEIRO6_189-1,CARNEIRO6_189,present,present,1
CARNEIRO6_190-0,CARNEIRO6_190,absent,absent,0
CARNEIRO6_190-1,CARNEIRO6_190,present,present,1
CARNEIRO6_191-0,CARNEIRO6_191,absent,absent,0
CARNEIRO6_191-1,CARNEIRO6_191,present,present,1
CARNEIRO6_192-0,CARNEIRO6_192,absent,absent,0
CARNEIRO6_192-1,CARNEIRO6_192,present,present,1
CARNEIRO6_193-0,CARNEIRO6_193,absent,absent,0
CARNEIRO6_193-1,CARNEIRO6_193,present,present,1
CARNEIRO6_194-0,CARNEIRO6_194,absent,absent,0
CARNEIRO6_194-1,CARNEIRO6_194,present,present,1
CARNEIRO6_195-0,CARNEIRO6_195,absent,absent,0
CARNEIRO6_195-1,CARNEIRO6_195,present,present,1
CARNEIRO6_196-0,CARNEIRO6_196,absent,absent,0
CARNEIRO6_196-1,CARNEIRO6_196,present,present,1
CARNEIRO6_197-0,CARNEIRO6_197,absent,absent,0
CARNEIRO6_197-1,CARNEIRO6_197,present,present,1
CARNEIRO6_198-0,CARNEIRO6_198,absent,absent,0
CARNEIRO6_198-1,CARNEIRO6_198,present,present,1
CARNEIRO6_199-0,CARNEIRO6_199,absent,absent,0
CARNEIRO6_199-1,CARNEIRO6_199,present,present,1
CARNEIRO6_200-0,CARNEIRO6_200,absent,absent,0
CARNEIRO6_200-1,CARNEIRO6_200,present,present,1
CARNEIRO6_201-0,CARNEIRO6_201,absent,absent,0
CARNEIRO6_201-1,CARNEIRO6_201,present,present,1
CARNEIRO6_202-0,CARNEIRO6_202,absent,absent,0
CARNEIRO6_202-1,CARNEIRO6_202,present,present,1
CARNEIRO6_203-0,CARNEIRO6_203,absent,absent,0
CARNEIRO6_203-1,CARNEIRO6_203,present,present,1
CARNEIRO6_204-0,CARNEIRO6_204,absent,absent,0
CARNEIRO6_204-1,CARNEIRO6_204,present,present,1
CARNEIRO6_205-0,CARNEIRO6_205,absent,absent,0
CARNEIRO6_205-1,CARNEIRO6_205,present,present,1
CARNEIRO6_206-0,CARNEIRO6_206,absent,absent,0
CARNEIRO6_206-1,CARNEIRO6_206,present,present,1
CARNEIRO6_207-0,CARNEIRO6_207,absent,absent,0
CARNEIRO6_207-1,CARNEIRO6_207,present,present,1
CARNEIRO6_208-0,CARNEIRO6_208,absent,absent,0
CARNEIRO6_208-1,CARNEIRO6_208,present,present,1
CARNEIRO6_209-0,CARNEIRO6_209,absent,absent,0
CARNEIRO6_209-1,CARNEIRO6_209,present,present,1
CARNEIRO6_210-0,CARNEIRO6_210,absent,absent,0
CARNEIRO6_210-1,CARNEIRO6_210,present,present,1
CARNEIRO6_211-0,CARNEIRO6_211,absent,absent,0
CARNEIRO6_211-1,CARNEIRO6_211,present,present,1
CARNEIRO6_212-0,CARNEIRO6_212,absent,absent,0
CARNEIRO6_212-1,CARNEIRO6_212,present,present,1
CARNEIRO6_213-0,CARNEIRO6_213,absent,absent,0
